vote_trump,census_region,state,age,weight_2020,hispan,sex,race,income,education_category,stateicp
0,3,FL,45,1.7581815400932177,0,0,1,2,2,Florida
1,3,FL,75,0.7503844989481238,0,1,1,1,2,Florida
0,4,CA,48,1.1119776479685204,0,0,1,3,3,California
1,4,CO,69,0.2732508356114387,0,0,1,1,3,Colorado
1,3,TX,44,0.7035033923294213,0,0,1,2,3,Texas
1,1,PA,25,2.3594315115217417,0,0,1,1,2,Pennsylvania
0,4,CA,31,1.4267439431072388,0,0,2,2,1,California
0,2,IL,83,0.34016257898332236,0,0,1,1,3,Illinois
1,2,IN,27,0.07322178264324528,0,0,2,1,1,Indiana
1,2,KS,57,0.04000147296295772,0,1,1,1,2,Kansas
1,3,OK,41,0.7174070759704669,0,0,1,1,1,Oklahoma
0,2,IL,73,0.6597974969324959,0,0,1,2,3,Illinois
0,4,AZ,71,0.20352318971832184,0,1,1,1,3,Arizona
1,1,PA,60,0.38522361708850206,0,0,1,2,3,Pennsylvania
0,2,MO,46,0.19972094803375362,0,0,1,1,2,Missouri
0,2,MN,65,0.5099223426115385,0,1,1,2,2,Minnesota
0,3,FL,36,0.3347966577500541,0,0,1,2,3,Florida
1,2,OH,49,0.6674300015594876,0,1,1,2,3,Ohio
0,4,CA,26,0.3371750520217415,0,0,1,1,3,California
1,1,NY,20,1.6628413969343268,0,0,2,3,1,New York
0,4,CA,71,0.25465492372350185,0,1,1,1,2,California
1,2,IN,71,0.2352726410254955,0,1,1,1,3,Indiana
0,3,OK,78,3.839187720898291,0,0,1,2,2,Oklahoma
1,2,MO,68,0.3373129531199257,0,1,1,1,3,Missouri
1,1,NJ,68,2.0553352235058426,0,1,4,2,3,New Jersey
0,4,CO,64,1.4691324975501787,0,1,2,1,2,Colorado
1,1,PA,65,1.3925385390472464,0,0,4,2,3,Pennsylvania
1,3,GA,52,0.8028397076968652,0,0,1,1,1,Georgia
1,3,NC,30,1.1055979715357556,0,0,1,2,1,North Carolina
1,1,PA,66,0.47382233672450963,0,0,1,2,3,Pennsylvania
1,4,CA,40,0.20154707762060928,0,1,1,1,1,California
1,1,PA,38,0.37003188243095547,0,0,1,2,3,Pennsylvania
1,4,ID,32,1.3310647083276863,0,1,1,2,2,Idaho
0,3,SC,19,0.07601732582299253,0,0,2,1,3,South Carolina
1,2,OH,37,0.6871548407420894,0,1,1,1,2,Ohio
1,1,PA,54,1.5118047674750246,0,0,1,2,2,Pennsylvania
0,2,MO,27,0.2722939469360176,0,1,1,1,2,Missouri
0,1,NJ,72,2.1284979413952345,0,0,1,3,3,New Jersey
0,2,IL,52,1.10775566319866,0,1,1,4,3,Illinois
1,3,FL,60,0.21375909962712628,0,0,1,1,1,Florida
0,3,GA,33,0.8591734399976919,0,0,1,2,2,Georgia
1,2,MO,78,2.4581616612097004,0,1,1,2,2,Missouri
0,2,IN,20,0.1729675139871246,0,0,2,1,1,Indiana
1,4,NV,74,0.45817103629306055,0,1,1,1,2,Nevada
1,3,OK,53,0.15371875359697784,0,0,1,1,3,Oklahoma
